* 名字,* 公司,* 介绍,*地址,* 身份证,* 时间,* 法人,* 注册金额,编号,*网址
保保快险,北京云智贯通科技有限公司,保保快险是一家第三方互联网保险服务商，通过快速连接保险消费场景，为用户打造数据驱动的互联网保险业务，提供保险SaaS平台服务，以数据为核心打造互联网消费+保险的新业态。,北京云智贯通科技有限公司,北京市海淀区信息路甲28号D座05A-5328,110108019294547,2015-06-12,于颢,37.03万元人民币,91110108348306297G,www.baobaokuaixian.com
七桥健康,七桥健康科技（深圳）有限公司,七桥健康是一家智慧医疗服务提供商，提供大+影像，通过云计算、云服务，使医学影像（X线、CT、MR、DSA等）资料以多种模式展现在用户端。方便用户（医生和患者）随时随地查看、下载及浏览影像资料。隶属于七桥健康科技（深圳）有限公司。,七桥健康科技（深圳）有限公司,深圳市南山区粤海街道科苑路科兴科学园A1栋903室,440301118573185,2017-01-06,董超,200万元人民币,91440300MA5DRXDU34,www.7bhealth.com
多人气,多数文化传媒（上海）有限公司,多人气是一家为互联网企业提供营销推广解决方案的公司，以淘宝、天猫、京东等电子购物平台为核心，为企业客户开展移动营销活动，实现优化网店无线端权重提供专业的店铺运营方案，帮助商家网店更好地实现网上交易。,多数文化传媒（上海）有限公司,上海市浦东新区川沙路151号1幢2297室,310115003074295,2016-06-07,王尚昆,500万元人民币,91310115MA1H7UCN9X,www.duorenqi.com
恒亮股份,浙江江山恒亮蜂产品股份有限公司,"""公司主要从事蜂业相关食品及保健品的研发、生产和销售,产品包括蜂王浆、蜂王浆冻干粉、蜂胶软胶囊、蜂蜡、蜂花粉、蜂蜜等30多个系列,产品远销美、德、法、英、日、韩、意大利、西班牙、新西兰、澳大利亚等国家。    公司建立了严格监控的生产流程体系,实现了产品质量的稳定性和工艺的先进性。经营过程中,不断加强产品质量检验,建立了一套符合欧盟标准的源头质量可追溯体系,确保了产品质量。公司现已通过ISO9001:2008、ISO22000:2005质量管理体系、HACCP食品安全管理体系认证、ISO14001:2004环""",浙江江山恒亮蜂产品股份有限公司,浙江省衢州市江山市中山路107号,330800400000064,1997-06-23,郑浩亮,1388万元人民币,913308816098506708,www.hlbees.com
盒盒搭,北京神灯互联科技有限公司,盒盒搭是一个服饰礼盒订阅电商平台，用户需通过微信小程序先填写调查问卷，包括身形、喜好等信息，平台会为用户定期配送服装礼盒，内含5件服饰产品，用户试穿后不喜欢的款式平台会进行免费上门收回。,北京神灯互联科技有限公司,,110105023103164,2017-03-14,杨立东,1000 万元,91110105MA00CL4G66
英搏尔,珠海英搏尔电气股份有限公司,珠海英搏尔电气股份有限公司是一家专注于电动车辆电机控制系统技术自主创新与产品研发的高新技术企业，主营业务系以电机控制器为主，车载充电机、DC-DC 转换器、电子油门踏板等为辅的电动车辆关键零部件的研发、生产与销售。公司产品广泛运用于新能源汽车、中低速电动车、场地电动车等领域。,珠海英搏尔电气股份有限公司,珠海市金鼎创新科技海岸科技六路7号琮盛物流有限公司综合楼三、四、五楼,440400000194233,2005-01-14,姜桂宾,7560万元人民币,9144040077096114X2,www.in-powercar.com
过客,深圳市桃源纪科技有限公司,过客是一款以信会友的轻社交软件。用户在过客上写一封信，选择时间邮票贴上信纸封面后将其寄出，时间邮票最短为4小时，这意味着你寄出的信件至少4小时后才会发送到其他用户手中。,深圳市桃源纪科技有限公司,深圳市南山区桃源街道桃源村一期36栋一单元404室,440301117884455,2016-11-01,陶开杰,150万元人民币,91440300MA5DNDA104,www.gorkor.com
云海麒麟,深圳市云海麒麟计算机系统有限公司,深圳市云海麒麟计算机系统有限公司是专业人工智能、深度学习大数据服务提供商，凭借在GPU、MIC、FPGA三大异构计算领域独特的软硬件技术，成为中国在深度学习，人工智能领域领先的计算设备提供商。,深圳市云海麒麟计算机系统有限公司,深圳市龙华区大浪街道华荣路鹏腾达工业园三栋五楼东,440301108184169,2013-10-24,李宝科,768.6395万元人民币,914403000812609628,www.cloudkirin.com
元道通信,元道通信股份有限公司,"""公司成立于二〇〇八年九月份,公司为专业从事移动通信工程建设、设备维护、网络优化等通信技术服务的高新技术企业。经营范围为:通信信息网络技术咨询;通信设备维护、综合布线;通信业务网络、电信支撑网络、电信基础网络系统集成工程、通信网络代维;通信设备、通信器材开发、生产、销售、维修;计算机软件硬件开发,生产、销售;通信技术咨询、技术服务;制冷设备、空调及配套设备的安装维修;代缴房租、电费等服务。通信管道、传输设备的安装、施工、制冷设备及配套设备的销售。公司注册资本5010万元人民币。注册地址为:河北省石家庄市新华区""",元道通信股份有限公司,新疆乌鲁木齐高新技术产业开发区（新市区）北区冬融街567号高新人才大厦南塔十楼,,2008-09-12,李晋,7581.55万元人民币,91130100679916292B,www.wintaotel.com.cn
河南一微,河南一微新能源汽车销售服务有限公司,河南一微以新能源电动物流车租赁和APP同城物流平台运营为主体，面向全国各城市发展控股子公司，并以租赁方式，重点推广纯电动汽车在城市物流中的大规模使用，并通过手机APP移动互联网和车联网平台，提供城市智能绿色物流整体解决方案。,河南一微新能源汽车销售服务有限公司,郑州高新区长椿路11号Y20幢1单元3层3号,410199000067333,2014-05-09,王国平,2305.6732万元人民币,914101003993109825,www.evxny.net
梦装网,山东梦装网络科技有限公司,梦装网是一家装修服务平台。通过装修公司、团队、设计师等设计装修资源整合，提供第三方监管服务、家居商城经营等，建设新型的家居装修资源智能服务平台。,山东梦装网络科技有限公司,山东省滨州市滨城区渤海十六路601号国际大厦1号楼1406,371602200075746,2016-09-18,李在鹏,2000万元人民币,91371602MA3CGY6H0R,www.360mzw.com
石氏减肥,北京天赐石氏健康科技有限公司,石氏减肥是一家以中医减肥、培训、医疗器械生产、研发、销售为一体的综合企业，为客户制定针对其体质的疗程与方案。,北京天赐石氏健康科技有限公司,北京市朝阳区朝阳路8号10层A座1005,110105013824573,2011-04-28,黄子凯,100万元人民币,91110105573160650X,www.bjssjf.cn
好帮手,广东好帮手电子科技股份有限公司,一、公司简介 好帮手电子，专注汽车生态，全面构建新时代的理想车生活。 作为中国汽车电子的领军企业，广东好帮手电子科技股份有限公司始创于1998年，自主研发、制造、销售智能车载信息系统、汽车安全辅驾等系列产品，并提供丰富的车联网增值服务，为全球车主提供舒适、安全、便捷、自由、专属的全新“理想车生活”。 十多年来，好帮手实现了集团化产业链体系的完整布局，旗下拥有广东好帮手、江西好帮手、好帮手国际、广东翼卡、广东丰诺、云商科技、广东骏弘、广东翼驾等多家全资子公司。拥有“卡仕达”、“科骏达”、“丰诺”等多个知名产品,广东好帮手电子科技股份有限公司,佛山市三水中心科技工业区西南园C区25-8号（F1）八楼自编801-806,440683000008046,1998-06-16,卢婉红,9277.0093万元人民币,91440600707798570X,www.coagent.cn
蓝熙健康,杭州蓝熙健康管理有限公司,蓝熙健康是一家健康医疗服务运营商，提供远程医疗服务，专注于投资建设社区与家庭健康医疗服务，致力于结合物联网、云平台和医生资源，整合区域医疗中心和基层医疗结构，为个人和家庭提供生命周期服务平台。,杭州蓝熙健康管理有限公司,西湖,330100000197303,2014-09-28,曲藩蕊,5000万元人民币,91330106311277963T,www.lanxihealthcare.com
乐松文化,哈尔滨乐松文化发展股份有限公司,"""公司位于哈尔滨市香坊区三大动力路8号,总建筑面积120000㎡,总营业面积80000㎡,地上4层,地下2层,拥有全市最大的近千个泊位的地下停车场,是哈尔滨市单体面积最大的购物中心之一。      乐松商圈是哈尔滨市级成熟商圈,是以乐松广场为中心的商业集合体。地处二环核心地带,交通便利,广场前公交线路20多条。乐松广场客流量日均5万余人,是哈尔滨市客流量最大的购物中心。      新乐松广场正在升级改造,聘请日本和桥机构共同进行商业建筑规划与设计、商业空间规划与卖场环境设计、MD组合等整体规划,定位于""""时尚、""",哈尔滨乐松文化发展股份有限公司,哈尔滨市香坊区三大动力路8号,230107100037815,2004-11-23,魏国栋,2000万元人民币,91230100763199820R,www.lesongplaza.com
东海麒麟,北京东海麒麟文化传播有限公司,东海麒麟是一家影视内容制作商，寻找影视合作项目，搜集文学剧本创作资源，进行影视内容的生产与制作，并且提供艺人经纪服务，代表作品有《舌尖上的新年》、《向阳生长》。,北京东海麒麟文化传播有限公司,北京市朝阳区朝阳路85号院7号楼7A26室,110105017092834,2014-04-23,胡震鹏,2200万元人民币,91110105098484073M
柠萌影业,上海柠萌影视传媒有限公司,柠萌影业是一家影视制作服务提供商，主营业务为影视剧、网络节目的制作，并且涉及营销、发行服务。公司致力于为观众呈现精品娱乐内容。主要作品有都市情感剧《好先生》、《小别离》等。,上海柠萌影视传媒有限公司,上海市松江区富永路425弄212号2230室,310117003157238,2014-07-25,苏晓,529.7734万元人民币,91310117398608699C,www.linmon.cn
兴德,北京兴德科技发展有限公司,北京兴德科技发展有限公司是一家电子卡一站式服务平台。为商户提供电子预付卡的发卡服务，公司拥有自主开发的电子预付卡平台，符合央行及银联规范。以富媒体方式为商户进行营销整合，通过多元化的营销组合、推广和互动，充分发挥预付卡+的优势，有效地增加商户的营业额和客户量。,北京兴德科技发展有限公司,北京市海淀区中关村大街18号8层01-491,110108018651219,2015-02-12,丰磊,103万元人民币,911101083304084474,www.xingder.com
挖掘者游戏,哈尔滨挖掘者游戏开发有限公司,挖掘者游戏是一个手游、页游开发商，以开发手机平台以及网页平台的2D游戏为主，曾致力于无限试驾、决战系列、大明龙权以及2D科幻手游Metal Fighter等多款知名游戏的研发。,哈尔滨挖掘者游戏开发有限公司,,230108100034268,2011-09-14,栾德广,10万元人民币,9123010857808241XW,暂未收录
灵汐科技,北京灵汐科技有限公司,灵汐科技是一家AI类脑计算芯片研发服务商，公司拥有核心专利数十项，拥有具备自主知识产权的技术及研发团队，开发出一款类脑计算芯片、一台类脑计算机及相关软件，致力于研发满足用户要求的人工智能产品。,北京灵汐科技有限公司,北京市海淀区北四环西路67号8层801,110108024717822,2018-01-15,祝夭龙,1218.9716万元人民币,91110108MA019WL32P,www.lynxitech.com
力子光电,深圳市力子光电科技有限公司,"""深圳市力子光电科技有限公司（以下简称“力子光电“）投身于光通信行业领域，专业提供光引擎及光模块的研发、制造和销售。力子光电成立于2017年8月，设址在深圳市龙华区现代化新兴高新产业园--锦绣科学园。专精于从芯片、器件到模块的设计/生产/供应链，资源遍布全球。强大的研发核心团队，在光器件及光模块的设计及量产方面拥有优异的技术，研发团队技术核心成员积累20年以上高速光模块研发经验，以及多种100G光模块(QSFP28, CFP/CFP2 /CFP4)量产经验。对400G以内的光模块技术拥有自主产权的技术储备。未来高速光模块的竞争其实是高端光器件量产能力的竞争，力子光电除有专业的产品设计能力之外，还拥有坚实的自动化设计团队，生产所需的所有自动化设备，包括软/硬件，全部自主开发。实现全自动化操作，确保产品性能一致性，且提升了产品品质，同时节约了大量的人力成本和管理成本。""",深圳市力子光电科技有限公司,深圳市龙华区观湖街道南大富社区虎地排121号锦绣大地11号5楼502室,440300202047303,2017-08-07,王四俊,1413.852819万元人民币,91440300MA5ENKRY91,www.potrontec.com
点内生物,点内（上海）生物科技有限公司,点内生物是一家精准医疗大数据提供商，致力于生物遗传研究、基因检测、医学肿瘤大数据的挖掘与开发，通过人工智能引擎，把肿瘤大数据、人工智能和基因检测相结合，免费为用户提供肺部小结节早期患癌风险评估。隶属于点内（上海）生物科技有限公司。,点内（上海）生物科技有限公司,中国（上海）自由贸易试验区郭守敬路498号8幢19号楼3层,310141000287849,2016-04-11,葛亮,222.2222万元人民币,91310115MA1K3A2R44,www.dianneidna.com
补课吧,北京思动教育科技有限公司,北京思动教育科技有限公司市一家服务于中国教育服务领域的公司。主营网站补课吧是一家在线授课的网站，所有的家教信息都经过了补课吧平台的严格审核然后再发布的，专注于一对一模式的家教服务，让中小学生可以找到自己喜欢的老师。,北京思动教育科技有限公司,北京市石景山区阜石路165号院2号楼7层702,110107018309079,2014-12-11,杨启明,100万元人民币,911101073183362090,www.buke8.com
Book++,深圳拟时空网络科技有限公司,Book++是一个图书借阅平台，通过在线下布局共享书柜，为企业客户提供免费试读、有偿捐书、共享借阅、增值售书等服务，致力于解决企业高管出差购书、员工培训用书、员工家庭关怀用书的需求。,深圳拟时空网络科技有限公司,深圳市南山区粤海街道软件产业基地4A1层孵化空间01-C,440301106785098,2012-12-25,李飞,121.212121万元人民币,914403000602559024,www.bookjia.com
非玩科技,缘遇（北京）科技有限公司,北京非玩科技成立于2014年，致力于发展无线互联网应用，包含手机游戏，手机应用等服务。非玩公司致力于无线互联网应用运营、网页游戏开发运营，新媒体分析与销售服务等方面。 自有产品“非秀”。,缘遇（北京）科技有限公司,,110106017910712,2014-09-18,徐立彦,100万元人民币,91110106317915196E,www.feone.cn
猿辅导,北京贞观雨科技有限公司,猿辅导是给中小学生提供直播课程平台，全国中小学生可以享受在家上北京名师直播课的服务。除了拥有资深的教师团队，猿辅导还将公司旗下猿题库和小猿搜题的数据沉淀，运用于课程设计和教学研发，让课程更具针对性和高效。猿辅导成立于 2012 年，最初主打产品为猿题库，后开始从工具向内容，再到在线辅导的转型。2016 年初，拿到腾讯融资之后的“猿题库”更名为“猿辅导”，将业务重心转移到能够变现的“猿辅导”。目前，猿辅导除在线辅导业务猿辅导外，还有小猿搜题、猿题库、小猿口算、斑马英语等学习产品。,北京贞观雨科技有限公司,北京市朝阳区广顺南大街8号院1号楼5层F01单元、6层F01内04单元,110105014780124,2012-03-31,李勇,1000万元人民币,911101055938807191,yuantiku.com
火寒VR,上海火寒信息科技有限公司,火寒VR是一家专业从事虚拟现实内容产品开发的专业技术公司，核心产品包括家装设计软件，虚拟样板间VR交互式看房系统，虚拟小区VR交互式未来生活体验系统，基于自行车交互的VR大型场景漫游系统，VR360影片拍摄制作全套解决方案，VR教育体系产品。,上海火寒信息科技有限公司,上海市金山区枫泾镇环东一路88号3幢3526室,310116003409613,2015-12-17,顾丽丽,200万元人民币,91310116MA1J84XB0R,vrhouse360.com
FPX电子竞技俱乐部,上海翻盘侠文化传播有限公司,FunPlus Phoenix 是一家中国电子竞技俱乐部，于2018年在上海成立。,上海翻盘侠文化传播有限公司,上海市杨浦区杭州路741号6幢138室,,2018-04-26,李淳,1500万美元,91310000MA1GUM904N
支点国际,北京支点国际资讯投资有限公司,北京支点国际资讯投资有限公司成立于2003年，是一家致力于从事活动会展、广告传媒、软件开发、招投标代理、投资咨询等国内著名专业公司。多年来，支点国际一直全心打造一个能为企业提供“整体市场解决方案”的引领者形象，并为帮助客户在迅速变化和发展的中国市场上取得成功而不断研究学习。经过全体员工多年来锲而不舍的奋斗与努力，对政府行业发展动态、政策法规、行业趋势进行长期深度研究与密切沟通，在政府公共关系、多行业政府采购咨询采购招标代理、活动会议策划执行、外商投资咨询等领域，全力为客户提供有针对性的整合营销服务，与多个多,北京支点国际资讯投资有限公司,北京市朝阳区东三环南路17号B座26层26B室,110105010713594,2008-01-02,王天鹏,1256万元人民币,9111010567057613XF,www.zfcg.com
航星舰船,辽宁航星舰船科技集团有限公司,航星舰船是一家船舶电子系统和操控仪表研发商,辽宁航星舰船科技集团有限公司,,210700004189713,2015-10-12,刘义,5205.49万元人民币,91210700MA0QC12600
Smartind智鼎,深圳市智鼎自动化技术有限公司,本项目基于自主核心的工业以太网IP核技术，聚焦于工业以太网的自动化技术，包括现场总线组件，驱动技术和自动化软件等的实现，有效解决国内产业升级与工业自动化核心部件严重依赖进口现象的矛盾。,深圳市智鼎自动化技术有限公司,深圳市宝安区新安街道67区留仙二路中粮商务公园2栋10楼06室,440301114079528,2015-10-12,林成熙,10万元人民币,914403003565055288,www.smartind.cn
海昌华,深圳市海昌华海运股份有限公司,"""公司从事国内沿海及广东省内河成品油船运输,并经广东省交通厅批准从事广东省各口岸至香港、澳门航线的油品运输.公司的成品油运输业务主要集中于华南沿海地区,包括从炼油厂运送至一级油库,及从一级油库运送至二级油库。公司成品油运输的客户主要包括中国石油天然气股份有限公司、中国石油化工集团公司等.公司于2009年被评为“广东省服务业100强企业”,2012年获得中海壳牌颁发的“最佳管理与服务奖”,2013年6月起担任中国船东协会化工品运输专业委员会常委单位,2014年通过深圳市第九批重点物流企业审核。""",深圳市海昌华海运股份有限公司,深圳市南山区蛇口太子南路蛇口工业区金融中心1栋5层1号,440301103839706,1996-08-04,梁栋,11500万元人民币,91440300279259561X,www.haifa88.com
氟聚股份,上海氟聚化学产品股份有限公司,上海氟聚化学产品有限公司成立于2007年，坐落于上海市精细化工产业孵化园。作为中国有机硅材料行业的新生力量，是一家专注于特种有机硅产品的生产、应用以及销售的公司。,上海氟聚化学产品股份有限公司,上海市金山区金山卫镇秋实路688号5号楼1层,310228001040172,2007-09-18,曹华斌,1025万元人民币,91310116666076343W,www.shinchem.com
美住购,吉林美住购科技有限公司,美住购是一个客房电子商务平台，包含商家线上线下整合管理平台，各项经营管理模块简单易操作、可实现前台和后台的无缝对接。用户进入到首页，首先注册账号并登陆美住购，然后挑选自已需要的房型，包括标准房、豪华房、大床房等，也可直接输入店家或者房间代码直接搜索。进入筛选页面后，用户可以通过房间类型、宾馆位置、价格、入住时间等条件进一步细化自己的订房需求。进入到客房详情页，页面上端为360°全景客房展示区，用户按住鼠标左键移动即可变换视角，一房一图，可以真正做到所见即所得。,吉林美住购科技有限公司,吉林高新区海口路29号,220214020016961,未知,柴韦衣,100万元人民币,91220214MA148CPC6N,www.meizhugou.com
信瑞达,西安信瑞达网络科技有限公司,信瑞达主营电子通信产品、数据产品、通信电源、微电子产品、阀门、智能仪器仪表、电力电子装置、高低压智能配电装置、计算机网络产品开发、生产销售及工程服务，以及电子产品及元器件的进出口贸易。,西安信瑞达网络科技有限公司,,610131100048341,2010-10-15,贺晓光,1000万元人民币,9161013156147576XR
国民飞骧,深圳飞骧科技有限公司,深圳国民飞骧科技有限公司由国民技术无线射频事业部独立而来，后者自2010年开始经营PA产品，已经发售了数千万颗PA。在独立之时，国民飞骧已经拥有了国内同行业内最完整、最齐全的4G射频解决方案，覆盖包括MTK、高通、展讯、联芯、Marvell等各种平台。   国民飞骧从PA起步，但并不局限于PA，而是矢志于成为向市场提供全领域的无线射频器件和系统，包括移动通信、物联家居、工业电子等等。,深圳飞骧科技有限公司,深圳市南山区粤海街道科技园中区科技中三路国人大厦B栋3F层318,440301112876292,2015-05-15,潘清寿,12428.9784万元人民币,914403003425338867
爱品选,中和宝电子商务（北京）有限公司,爱品选为中和宝电子商务（北京）有限公司旗下电商平台。爱品选，以“高品质定制和优选服务”为定位，为用户定制和优选多元化商品和服务，包含掌上商城、生活缴费、商旅出行、旅游、时尚美妆等，同时注重用户体验和差异化需求，为不同层级的会员提供专属精准服务。,中和宝电子商务（北京）有限公司,北京市朝阳区东三环北路甲19号楼31层3610,110105020960619,2016-04-05,夏仕兵,1000万元人民币,91110105MA004JN82B,www.zhbservice.com
财猫网络,北京聚链时代科技集团股份有限公司,北京财猫时代网络股份有限公司是一家提供应用交付产品及相关服务的高新技术企业。主要从事应用交付类技术和产品的开发、生产、销售及服务，为企业智能应用网络提供快速、安全、高可用的高性价比解决方案。主要用于于改善网络资源及应用基础设施的可用性、响应速度、安全性和管理的方便性，帮助客户提高IT系统的运行效率。目前公司已经取得了8项软件著作权。,北京聚链时代科技集团股份有限公司,北京市海淀区安宁庄路11号29B楼一层部分、1-7层北京天信亮酒店303,110108011501167,2008-12-05,李林,723.4699万元人民币,91110108683570714N,www.caimao.com
智慧传媒,深圳智慧传媒科技有限公司,智慧传媒IntelMT为品牌企业或者是内容制作播出机构提供到端的消费者数字关系管理解决方案。,深圳智慧传媒科技有限公司,深圳市罗湖区东晓街道东昌金迪名苑A栋1708,440301108966555,2014-03-13,张腾飞,1000万元人民币,9144030009418492X6,www.intellmt.com
开立医疗,深圳开立生物医疗科技股份有限公司,深圳开立生物医疗科技股份有限公司（以下简称“开立医疗”）自成立伊始，始终致力于临床医疗设备的研发和制造，产品涵盖超声诊断系统、电子内镜系统、体外诊断系列。开立医疗以领先的创新科技、卓越的产品性能及优质的贴心服务，向客户提供全方位、多样化的医疗产品和解决方案，成为全球领先的医疗科技及解决方案供应商。,深圳开立生物医疗科技股份有限公司,深圳市南山区玉泉路毅哲大厦4、5、8、9、10楼,440301103617854,2002-09-27,陈志强,40001万元人民币,91440300743219767A,www.sonoscape.com.cn
洛唐,重庆洛唐信息技术有限公司,重庆洛唐信息技术有限公司成立于2017年，致力于微信营销系统，物联网技术研发。公司在智能餐饮，智能图书，工业智能化，共享经济，微信公众号，小程序开发等积累了丰富的行业经验。为客户提供经济、适用、稳定的解决方案。,重庆洛唐信息技术有限公司,重庆市北部新区高新园黄山大道中段5号3-5号,500905009549381,2017-04-25,周奇,200万,91500000MA5UJ9X529,www.lotaai.com
学思堂,苏州学思堂教育咨询有限公司,学思堂教育连锁创办于2009年，传承孔子“学而不思则罔，思而不学则殆”的教育理念，创新“一对一”个性化教育辅导模式，专注于18岁以下孩子学习的培养与提升，让学生成为会思考、会学习的主人。,苏州学思堂教育咨询有限公司,,320503000080927,2010-02-26,尹思华,50万元人民币,91320508551190728H,www.xuesitang.cn
控糖卫士,北京糖协控糖卫士健康管理有限公司,控糖卫士是一个糖尿病患者院外远程管理平台，核心功能包括高危人群筛查、就医导诊、血糖监测、医患交流、运动管理、数据分析、药物提醒、在线教育及饮食指导等。隶属于北京新净科技有限公司。,北京糖协控糖卫士健康管理有限公司,北京市朝阳区五里桥二街2号院8号楼1层0128,110105017509406,2014-07-04,何道新,1000万元人民币,91110105306378962A,www.bjtxw.org
五格殿下,天津五格教育科技有限责任公司,五格教育是一个少儿机器人编程教育服务平台，专注于7-12岁少儿编程教育项目，通过线上网课、线下班课两种教育方式，开发有定制化课程、教具等软硬件结合的课程体系，致力于从故事、游戏、动画、艺术、互动媒体到机器人等角度，为用户提供一站式编程知识及课程服务。项目包括Scratch入门编程的一阶趣味编程，认识Goboard传感器板的二阶互动硬件学习，创意搭建、综合应用机器人的三阶积木机器人、动手组装与编写机器人程序的四阶单片机器人和代码学习阶段的Python入门五阶课程体系，项目自研了通过声音、光线、摇杆、触摸等传感器的控制，结合硬件完成各类趣味编程的互动硬件套装；研发了通过编程实现循迹、避障、防摔、声音侦测等各种功能的机器人的积木机器人套装；还研发了集组装搭建、结构创意、程序扩展的综合套装，功能强大的单片机器人套装。,天津五格教育科技有限责任公司,天津市河西区徽州道29号(北方创客体验中心B座)2044,120103000309732,2017-04-01,张宇光,100万元人民币,91120103MA05PFHB73,www.wugedianxia.com
奥迪通用照明,广州奥迪通用照明有限公司,奥迪通用照明是一家建筑照明产品生产商，致力于提供建筑照明产品和照明产品整体解决方案，产品包括庭院灯、线性洗墙灯、埋地灯、筒灯等，目前产品已应用在场馆建筑、机场等标志性建筑中。,广州奥迪通用照明有限公司,,440101400028688,1999-11-19,关崇安,5982.64万元人民币,91440101714290564N
博为光电,深圳市博为光电股份有限公司,"""公司成立于深圳,2009年中国在过去五年里公司从小型贸易公司到领先的LED灯制造商专注于北美市场,拥有超过200员工,每月超过300000灯的输出。面向北美市场的制造商,Bravoled提供最先进的技术支持和服务的所有行UL / CUL DLC,ETL / CETL和能源之星认证的产品,包括LED管,LED高海湾、洪水LED灯,LED面板灯,LED筒灯,LED PAR灯等。""",深圳市博为光电股份有限公司,深圳市光明新区公明街道上村社区元山工业区B区第22栋,440306105270625,2011-03-22,刘子昂,900万元人民币,91440300571976680Y,www.bravoled.com
惠众云商,深圳市惠众云商科技有限公司,深圳惠众云商科技有限公司（简称惠众云商），是一家从事电子商务信息化技术服务、电子商务运营咨询的高科技“双软”企业。致力于自主知识产权的网商软件的研究、开发和推广，企业互联网品牌及形象的设计与规划。自成立以来，惠众云商科技有限公司坚持自主创新，从最基础的管理软件做起，从最直接的客户做起，成立之初便得到了多家大型网商企业的认可，并直接获得融资。,深圳市惠众云商科技有限公司,深圳市前海深港合作区前湾一路鲤鱼门街一号前海深港合作区管理局综合办公楼A栋201室（入驻深圳市前海商务秘书有限公司）,440301109405637,2014-05-21,韩涛,500万元人民币,914403003061516109,www.ecdev.cn
富伦生态,杭州富伦生态科技有限公司,富伦生态是一家纸塑铝复合包装物再利用业务运营商，主要从事废弃牛奶盒、饮料软包装的回收，并进行再资源化综合处理，生产再生纸、再生塑料粒子、铝粉等产品。该公司自建回收渠道，比如商业回收、社区分类回收、校园回收等模式。,杭州富伦生态科技有限公司,,330183000035639,2009-01-06,羊军,5111.7577万元人民币,91330183682926010L,www.fulunpaper.com

